Rank,Land,Gold,Silber,Bronze,Gesamt
1.0,Norwegen,12,7,9,28
2.0,Italien,8,4,11,23
3.0,USA,6,8,5,19
4.0,Niederlande,6,5,1,12
5.0,Österreich,5,7,3,15
6.0,Schweden,5,5,1,11
7.0,Schweiz,5,2,3,10
8.0,Deutschland,4,7,6,17
9.0,Frankreich,4,7,4,15
10.0,Japan,4,5,9,18
11.0,Australien,3,1,1,5
12.0,Großbritannien,3,0,0,3
13.0,Kanada,2,4,5,11
14.0,Tschechien,2,2,0,4
15.0,Slowenien,2,1,1,4
16.0,Südkorea,1,2,3,6
17.0,Brasilien,1,0,0,1
,Kasachstan,1,0,0,1
19.0,China,0,3,2,5
20.0,Polen,0,3,1,4
21.0,Lettland,0,1,1,2
,Neuseeland,0,1,1,2
23.0,Georgien,0,1,0,1
24.0,Finnland,0,0,3,3
25.0,Bulgarien,0,0,2,2
26.0,Belgien,0,0,1,1
27.0,Albanien,0,0,0,0
,Andorra,0,0,0,0
,Argentinien,0,0,0,0
,Armenien,0,0,0,0
,Aserbaidschan,0,0,0,0
,Benin,0,0,0,0
,Bolivien,0,0,0,0
,Bosnien-Herzegowina,0,0,0,0
,Chile,0,0,0,0
,Dänemark,0,0,0,0
,Ecuador,0,0,0,0
,Eritrea,0,0,0,0
,Estland,0,0,0,0
,Griechenland,0,0,0,0
,Grönland,0,0,0,0
,Guinea-Bissau,0,0,0,0
,Haiti,0,0,0,0
,Hongkong,0,0,0,0
,Indien,0,0,0,0
,Iran,0,0,0,0
,Irland,0,0,0,0
,Island,0,0,0,0
,Israel,0,0,0,0
,Jamaika,0,0,0,0
,Kenia,0,0,0,0
,Kirgisistan,0,0,0,0
,Kolumbien,0,0,0,0
,Kosovo,0,0,0,0
,Kroatien,0,0,0,0
,Libanon,0,0,0,0
,Liechtenstein,0,0,0,0
,Litauen,0,0,0,0
,Luxemburg,0,0,0,0
,Madagaskar,0,0,0,0
,Malaysia,0,0,0,0
,Malta,0,0,0,0
,Marokko,0,0,0,0
,Mexiko,0,0,0,0
,Moldau,0,0,0,0
,Monaco,0,0,0,0
,Mongolei,0,0,0,0
,Montenegro,0,0,0,0
,Nigeria,0,0,0,0
,Nordmazedonien,0,0,0,0
,Pakistan,0,0,0,0
,Philippinen,0,0,0,0
,Portugal,0,0,0,0
,Puerto Rico,0,0,0,0
,Rumänien,0,0,0,0
,San Marino,0,0,0,0
,Saudi-Arabien,0,0,0,0
,Serbien,0,0,0,0
,Singapur,0,0,0,0
,Slowakei,0,0,0,0
,Spanien,0,0,0,0
,Südafrika,0,0,0,0
,Taiwan,0,0,0,0
,Thailand,0,0,0,0
,Togo,0,0,0,0
,Trinidad & Tobago,0,0,0,0
,Türkei,0,0,0,0
,Ukraine,0,0,0,0
,Ungarn,0,0,0,0
,Uruguay,0,0,0,0
,Usbekistan,0,0,0,0
,VA Emirate,0,0,0,0
,Venezuela,0,0,0,0
,Zypern,0,0,0,0
